trial_id,start_time,stop_time,trial_length,initial_image,change_image,is_change,is_go,is_catch,change_time,response_time,reward_time,reward_volume,hit,miss,false_alarm,correct_rejection,aborted,auto_rewarded,response_lick,correct,outcome,reaction_time
0,24.22889,25.2958,1.06691,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
1,25.72924,33.75312,8.023880000000002,im104_r,im111_r,1,0,0,29.4827,30.16593,29.63331,0.005,0,0,0,0,0,1,0,0,other,0.6832299999999982
2,33.98595,36.28803,2.3020799999999966,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
3,36.98854,39.35721,2.3686700000000016,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
4,39.99117,42.92679,2.93562,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
5,42.99359,44.37799,1.3843999999999994,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
6,44.49516,51.76799,7.272829999999999,im111_r,im034_r,1,0,0,47.49779,48.114,47.64801,0.005,0,0,0,0,0,1,0,0,other,0.6162099999999953
7,52.00123,56.48824,4.487009999999998,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
8,56.50478,60.97517,4.470390000000002,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
9,61.00846,62.86023,1.851770000000002,im034_r,im034_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
10,63.26086,72.78517,9.524309999999993,im034_r,im005_r,1,0,0,68.51526,69.36531,68.66594,0.005,0,0,0,0,0,1,0,0,other,0.850049999999996
11,73.01848,80.29158,7.2730999999999995,im005_r,im083_r,1,1,0,76.02144,76.72235,76.72235,0.003,1,0,0,0,0,0,1,1,hit,0.7009100000000075
12,80.52507,81.62586,1.1007900000000035,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
13,82.02616,83.87786,1.851699999999994,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
14,84.27823,91.55085,7.272620000000003,im083_r,im104_r,1,1,0,87.28099,87.66499,87.66499,0.003,1,0,0,0,0,0,1,1,hit,0.38400000000000034
15,91.78406,99.8082,8.024140000000003,im104_r,im005_r,1,1,0,95.53784,96.10498,96.10498,0.003,1,0,0,0,0,0,1,1,hit,0.5671399999999949
16,100.04128,101.90942,1.8681399999999968,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
17,102.2942,102.61028,0.3160799999999995,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
18,103.04368,110.31646,7.272780000000012,im005_r,im087_r,1,1,0,106.04652,106.6139,106.6139,0.003,1,0,0,0,0,0,1,1,hit,0.56738
19,110.54981,113.00203,2.452220000000011,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
20,113.55257,120.82525,7.272679999999994,im087_r,im087_r,0,0,1,116.555,116.93836,,0.0,0,0,1,0,0,0,1,0,false_alarm,0.38335999999999615
21,121.05854,122.50999,1.4514500000000083,im087_r,im087_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
22,122.56019,129.83279,7.272599999999983,im087_r,im024_r,1,1,0,125.56272,125.94659,125.94659,0.003,1,0,0,0,0,0,1,1,hit,0.3838700000000017
23,130.06601,132.33509,2.2690800000000024,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
24,133.06918,134.46997,1.4007900000000006,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
25,134.57001,137.02247,2.452460000000002,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
26,137.57285,139.10714,1.5342899999999986,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
27,139.82447,141.49255,1.6680800000000033,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
28,142.07628,149.33259,7.256310000000013,im024_r,im111_r,1,1,0,145.07919,145.56332,145.56332,0.003,1,0,0,0,0,0,1,1,hit,0.4841299999999933
29,149.58244,151.20092,1.6184800000000052,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
30,151.85153,153.26926,1.417730000000006,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
31,153.35225,158.6735,5.321249999999992,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
32,159.35734,163.86143,4.504090000000019,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
33,163.86143,165.91291,2.051479999999998,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
34,166.11298,175.63774,9.524760000000015,im111_r,im087_r,1,1,0,171.36784,172.4012,,0.0,0,1,0,0,0,0,0,0,miss,1.0333599999999876
35,175.87095,183.89479,8.023840000000007,im087_r,im104_r,1,1,0,179.62481,180.62478,,0.0,0,1,0,0,0,0,0,0,miss,0.9999699999999905
36,184.12778,192.90219,8.774409999999989,im104_r,im083_r,1,1,0,188.63245,189.06539,189.08272,0.003,1,0,0,0,0,0,1,1,hit,0.4329400000000021
37,193.13561,195.32088,2.1852699999999743,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
38,195.38748,202.66024,7.272759999999977,im083_r,im083_r,0,0,1,198.39002,200.95849,,0.0,0,0,0,1,0,0,0,1,correct_rejection,2.568470000000019
39,202.89374,204.6118,1.71805999999998,im083_r,im083_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
40,205.14559,213.18588,8.040289999999999,im083_r,im005_r,1,1,0,208.89917,209.54991,209.54991,0.003,1,0,0,0,0,0,1,1,hit,0.6507400000000132
41,213.40237,215.17081,1.7684399999999982,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
42,215.65444,217.85651,2.202069999999992,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
43,217.90623,221.60933,3.7031000000000063,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
44,221.65968,225.4129,3.753219999999999,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
45,225.4129,236.43848,11.02557999999999,im005_r,im104_r,1,1,0,232.16852,232.58566,232.58566,0.003,1,0,0,0,0,0,1,1,hit,0.4171399999999892
46,236.67176,237.973,1.301240000000007,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
47,238.17315,240.57542,2.4022700000000157,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
48,241.19271,243.44494,2.2522299999999973,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
49,243.44494,243.81125,0.3663099999999986,im104_r,im104_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
50,244.19486,251.46778,7.272919999999999,im104_r,im024_r,1,1,0,247.19771,247.61483,247.61483,0.003,1,0,0,0,0,0,1,1,hit,0.41712000000001126
51,251.70097,254.98734,3.2863699999999767,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
52,255.48729,258.37324,2.8859500000000082,im024_r,im024_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
53,258.47367,265.76306,7.289389999999969,im024_r,im024_r,0,0,1,261.47642,264.8783,,0.0,0,0,0,1,0,0,0,1,correct_rejection,3.4018800000000056
54,265.97958,273.25267,7.273090000000025,im024_r,im114_r,1,1,0,268.98261,269.06516,269.43318,0.003,1,0,0,0,0,0,1,1,hit,0.08254999999996926
55,273.50253,274.97062,1.4680900000000179,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
56,275.00413,278.30666,3.302530000000047,im114_r,im114_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
57,278.75702,286.78053,8.023509999999987,im114_r,im111_r,1,1,0,282.51055,283.11156,283.11156,0.003,1,0,0,0,0,0,1,1,hit,0.6010099999999738
58,287.01384,290.16708,3.1532399999999825,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
59,290.76712,298.04021,7.273090000000025,im111_r,im111_r,0,0,1,293.76947,294.92003,,0.0,0,0,0,1,0,0,0,1,correct_rejection,1.1505599999999845
60,298.2732,301.39268,3.11948000000001,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
61,302.02662,305.42966,3.4030400000000327,im111_r,im111_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
62,305.77967,313.06912,7.289449999999988,im111_r,im005_r,1,1,0,308.79929,310.79994,,0.0,0,1,0,0,0,0,0,0,miss,2.0006500000000074
63,313.30235,314.97067,1.6683199999999943,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
64,315.55453,322.74403,7.1895000000000095,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
65,323.06085,334.83738,11.77652999999998,im005_r,im005_r,0,0,1,330.56692,,,0.0,0,0,0,1,0,0,0,1,correct_rejection,
66,335.07057,335.75462,0.6840500000000134,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
67,335.82136,343.09419,7.272829999999999,im005_r,im024_r,1,1,0,338.82431,339.74087,,0.0,0,1,0,0,0,0,0,0,miss,0.9165599999999472
68,343.32744,350.60054,7.2730999999999995,im024_r,im005_r,1,1,0,346.33081,346.98051,346.99797,0.003,1,0,0,0,0,0,1,1,hit,0.6496999999999957
69,350.83378,353.36939,2.5356100000000197,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
70,353.83638,357.85666,4.020279999999957,im005_r,im005_r,0,0,0,,,,0.0,0,0,0,0,1,0,0,0,aborted,
71,358.34029,366.36383,8.023540000000025,im005_r,im111_r,1,1,0,362.09374,362.67767,362.67767,0.003,1,0,0,0,0,0,1,1,hit,0.5839299999999525
